Districts,latitude,longitude,Name,State,Country
"car nicobar,andaman and nicobar islands",9.187057,92.7730136,Jnv Car Nicobar Arong  ,Andaman And Nicobar Islands,India
"n.m. andaman,andaman and nicobar islands",12.941402,92.82055,Jnv Nm Andaman Panchavati  ,Andaman And Nicobar Islands,India
"south andaman,andaman and nicobar islands",14.063258,78.754425,Jnv South Andaman Chouldari  ,Andaman And Nicobar Islands,India
"ananthapur,andhra pradesh",28.003855,93.209361,Jnv Ananthapur Lepakshi    ,Andhra Pradesh,India
"chittoor,andhra pradesh",27.666201,95.877197,Jnv Chittoor Madanapalle    ,Andhra Pradesh,India
"east godavari-1,andhra pradesh",27.327049,93.718887,Jnv East Godavari 1 Peddapuram,Andhra Pradesh,India
"east godavari-2,andhra pradesh",25.351184,93.087421,Jnv East Godavari 2 Nellipaka,Andhra Pradesh,India
"guntur,andhra pradesh",26.212764,91.473112,Jnv Guntur Maddirala    ,Andhra Pradesh,India
"annamayya, kadapa,andhra pradesh",14.063258,78.754425,Jnv Annamayya Kadapa Naramaraju Palli,Andhra Pradesh,India
"krishna,andhra pradesh",25.875669,92.792663,Jnv Krishna Veleru    ,Andhra Pradesh,India
"kurnool,andhra pradesh",25.861203,92.82056,Jnv Kurnool Banawasi    ,Andhra Pradesh,India
"nellore,andhra pradesh",26.356906,92.674014,Jnv Nellore Krishnapuram    ,Andhra Pradesh,India
"prakasam-1,andhra pradesh",19.567322,81.368103,Jnv Prakasam 1 Ongole  ,Andhra Pradesh,India
"prakasam-2,andhra pradesh",22.927858,83.226959,Jnv Prakasam 2 Kaljuvlapadu  ,Andhra Pradesh,India
"srikakulam,andhra pradesh",20.30936,73.050765,Jnv Srikakulam Vennelavalasa    ,Andhra Pradesh,India
"visakhapatnam,andhra pradesh",22.720226,73.625917,Jnv Visakhapatnam Kommadi    ,Andhra Pradesh,India
"vizianagaram,andhra pradesh",28.195946,76.591449,Jnv Vizianagaram Kiltampalem    ,Andhra Pradesh,India
"west godavari,andhra pradesh",34.137399,74.802604,Jnv West Godavari Pedavegi  ,Andhra Pradesh,India
"east kameng,arunachal pradesh",13.32165,75.795848,Jnv East Kameng New Seppa,Arunachal Pradesh,India
"east siang,arunachal pradesh",17.329514,76.835802,Jnv East Siang Pasighat  ,Arunachal Pradesh,India
"itanagar,arunachal pradesh",9.507896,76.349564,Jnv Itanagar Capital Complex  ,Arunachal Pradesh,India
"kra daadi-kurung kumey,arunachal pradesh",28.003855,93.209361,Jnv Kra Daadi Kurung Kumey,Arunachal Pradesh,India
"l. dibang valley,arunachal pradesh",29.1132877,95.3975981,Jnv L Dibang Valley Roing,Arunachal Pradesh,India
"longding (tirap),arunachal pradesh",26.9895547,95.5024947,Jnv Longding Tirap Khapcho  ,Arunachal Pradesh,India
"lower subansiri,arunachal pradesh",27.5326327,93.7823245,Jnv Lower Subansiri Yachuli  ,Arunachal Pradesh,India
"namsai (lohit),arunachal pradesh",27.666201,95.877197,Jnv Namsai Lohit Mahadevpur  ,Arunachal Pradesh,India
"papumpare,arunachal pradesh",27.327049,93.718887,Jnv Papumpare Gumto    ,Arunachal Pradesh,India
"tawang,arunachal pradesh",27.6741942,91.9362059,Jnv Tawang Gorpudung    ,Arunachal Pradesh,India
"tirap,arunachal pradesh",27.030169,95.4979175,Jnv Tirap New Khonsa  ,Arunachal Pradesh,India
"upper siang,arunachal pradesh",28.7312046,95.0377315,Jnv Upper Siang Geku  ,Arunachal Pradesh,India
"upper subansiri,arunachal pradesh",28.2596054,94.0938106,Jnv Upper Subansiri Megdong  ,Arunachal Pradesh,India
"west kameng,arunachal pradesh",27.3386269,92.4333662,Jnv West Kameng Nafra  ,Arunachal Pradesh,India
"west siang,arunachal pradesh",28.1970922,94.48407,Jnv West Siang Kombo  ,Arunachal Pradesh,India
"anjaw,arunachal pradesh",28.1114301,96.8269996,Jnv Anjaw Hawai    ,Arunachal Pradesh,India
"changlang,arunachal pradesh",27.272007,96.065526,Jnv Changlang Goju    ,Arunachal Pradesh,India
"dibang valley,arunachal pradesh",28.8291044,95.9554096,Jnv Dibang Valley Angulini  ,Arunachal Pradesh,India
"baksa,assam",26.6275689,91.3388551,Jnv Baksa Adalbari    ,Assam,India
"barpeta,assam",26.345941,91.039708,Jnv Barpeta Chantabari    ,Assam,India
"bongaigaon,assam",26.4800126,90.5580387,Jnv Bongaigaon Kashidoba    ,Assam,India
"cachar,assam",24.75864,92.8816648,Jnv Cachar Pailapool    ,Assam,India
"chirang,assam",26.6464231,90.624157,Jnv Chirang Khamarguri    ,Assam,India
"darrang,assam",26.4373481,92.0047145,Jnv Darrang Udmari    ,Assam,India
"dhemaji,assam",27.5945155,94.7192098,Jnv Dhemaji Basudev Tinali  ,Assam,India
"dhubri,assam",26.132275,90.1249962,Jnv Dhubri Alomganj Part  ,Assam,India
"dibrugarh,assam",27.4844597,94.9019447,Jnv Dibrugarh Domardailong    ,Assam,India
"dima hasao (n.c. hills),assam",25.351184,93.087421,Jnv Dima Hasao Nc Hills,Assam,India
"goalpara,assam",26.0491877,90.6001859,Jnv Goalpara Dudhnoi    ,Assam,India
"golaghat,assam",26.5108262,93.9743686,Jnv Golaghat Chinatoli    ,Assam,India
"hailakandi,assam",24.6846916,92.5645836,Jnv Hailakandi Monacherra    ,Assam,India
"jorhat,assam",26.7577925,94.2079645,Jnv Jorhat Borera Gaon  ,Assam,India
"kamrup-1(rural),assam",26.212764,91.473112,Jnv Kamrup 1Rural Rangiya  ,Assam,India
"kamrup (urban)-ii,assam",30.354932,76.431771,Jnv Kamrup Urban Ii  ,Assam,India
"karbi anglong-1,assam",25.875669,92.792663,Jnv Karbi Anglong 1 Diphu,Assam,India
"west karbi anglong-2,assam",25.861203,92.82056,Jnv West Karbi Anglong  ,Assam,India
"karimganj,assam",24.5828195,92.3725486,Jnv Karimganj East Harinagar  ,Assam,India
"kokrajhar,assam",26.4912103,90.1215209,Jnv Kokrajhar Ranchaidham    ,Assam,India
"lakhimpur,assam",27.1763356,94.1992932,Jnv Lakhimpur Choudhapunia    ,Assam,India
"morigaon,assam",26.248606,92.3387945,Jnv Morigaon Dolochuba    ,Assam,India
"naugaon,assam",26.356906,92.674014,Jnv Naugaon Dhing    ,Assam,India
"nalbari,assam",26.3533631,91.3983662,Jnv Nalbari Danguapara Banekuchi  ,Assam,India
"sivasagar,assam",26.9834936,94.6394226,Jnv Sivasagar Tamtomtola    ,Assam,India
"sonitpur,assam",26.7677707,92.7014089,Jnv Sonitpur Kadamani    ,Assam,India
"tinsukia,assam",27.4879722,95.3601855,Jnv Tinsukia Rangajan    ,Assam,India
"udalguri,assam",26.7047237,92.0421507,Jnv Udalguri Sonaigaon    ,Assam,India
"Araria,bihar",26.2651013,87.3699437,Jnv Araria Rahikpur Arq  ,Bihar,India
"Arwal,bihar",25.1812831,84.6596648,Jnv Arwal Shivnagar    ,Bihar,India
"Aurangabad,bihar",24.80332,84.4110198,Jnv Aurangabad Barun Aubr  ,Bihar,India
"Banka,bihar",24.8328273,86.8161114,Jnv Banka Shaktinagar Baka  ,Bihar,India
"Begusarai,bihar",25.5125411,86.0883392,Jnv Begusarai Bishnupur Bgs  ,Bihar,India
"Bhagalpur,bihar",25.2861354,87.1304229,Jnv Bhagalpur Nagarpara Bgp  ,Bihar,India
"Bhojpur,bihar",25.4501182,84.5635193,Jnv Bhojpur Bihiya    ,Bihar,India
"Buxar,bihar",25.5044834,84.1097525,Jnv Buxar Nawanagar Bxr  ,Bihar,India
"Darbhanga,bihar",26.0829899,86.0324951,Jnv Darbhanga Pacharhi Dbg  ,Bihar,India
"East Champaran,bihar",26.6393261,84.8990136,Jnv East Champaran Piprakothi  ,Bihar,India
"Jethian Gaya,bihar",24.9293901,85.314193,Jnv Jethian Gaya   Gaya,Bihar,India
"Sherghati Gaya,bihar",24.593939,84.8478903,Jnv Sherghati Gaya   Gaya,Bihar,India
"Gopalganj,bihar",26.4211166,84.3739133,Jnv Gopalganj Balesara Gopg  ,Bihar,India
"Jamui,bihar",24.7562513,86.3011128,Jnv Jamui Barhat Jmu  ,Bihar,India
"Jehanabad,bihar",25.1529578,85.0065043,Jnv Jehanabad Makpa Jhd  ,Bihar,India
"Khagaria,bihar",25.4930513,86.6982264,Jnv Khagaria Sonvarsha Ghat  ,Bihar,India
"Kishanganj,bihar",26.2984144,87.9466715,Jnv Kishanganj Motihara Kne  ,Bihar,India
"Kaimur,bihar",24.975466,83.5768379,Jnv Kaimur Chaurasia Bxr  ,Bihar,India
"Katihar,bihar",25.5586421,87.6457196,Jnv Katihar Kolasi Kir  ,Bihar,India
"Lakhisarai,bihar",25.1543938,86.1744959,Jnv Lakhisarai Barhiya Lkr  ,Bihar,India
"Madhepura,bihar",25.7806118,86.9364753,Jnv Madhepura Sukhasan Mdp  ,Bihar,India
"Madhubani,bihar",26.3503076,86.2296424,Jnv Madhubani Ranti Mbi  ,Bihar,India
"Munger,bihar",25.2202864,86.5161484,Jnv Munger Ramankabad Mgr  ,Bihar,India
"Muzaffarpur,bihar",26.1482548,85.3316097,Jnv Muzaffarpur Kharaundih Mfp  ,Bihar,India
"Nalanda,bihar",25.1364914,85.4436546,Jnv Nalanda Rajgir Nldo  ,Bihar,India
"Nawada,bihar",24.8173249,85.5179085,Jnv Nawada Rewar Nwd  ,Bihar,India
"Patna,bihar",25.6093239,85.1235252,Jnv Patna Bikram Pnbe  ,Bihar,India
"Purnea,bihar",25.7773601,87.4731227,Jnv Purnea Garhbanaili Prna Purnia,Bihar,India
"Rohtas,bihar",24.9394142,84.0197031,Jnv Rohtas Nawadih Ssmt  ,Bihar,India
"Saharsa,bihar",25.8330757,86.6143751,Jnv Saharsa Bariyahi Shc  ,Bihar,India
"Samastipur,bihar",25.7747884,85.8672314,Jnv Samastipur Birauli Spj  ,Bihar,India
"Saran,bihar",25.9214451,84.7759731,Jnv Saran Deoti See  ,Bihar,India
"Sheikhpura,bihar",25.1250741,85.8160771,Jnv Sheikhpura Sheikhpura Shk  ,Bihar,India
"Sheohar,bihar",26.4934234,85.2717561,Jnv Sheohar Bisahi    ,Bihar,India
"Sitamarhi,bihar",26.5942841,85.500428,Jnv Sitamarhi Khairvi Smi  ,Bihar,India
"Siwan,bihar",26.131008,84.3910745,Jnv Siwan Karmali Hata  ,Bihar,India
"Supaul,bihar",26.2768089,86.7959614,Jnv Supaul Pathara Spp  ,Bihar,India
"Vaishali,bihar",25.7491702,85.3972164,Jnv Vaishali Wafapur Sharma  ,Bihar,India
"West Champaran,bihar",27.0518367,84.3351209,Jnv West Champaran Vrindavan  ,Bihar,India
"chandigarh,chandigarh",30.7334421,76.7797143,Jnv Chandigarh Sector 25 West,Chandigarh,India
"balod,chhattisgarh",20.7277192,81.1446948,Jnv Balod Dudhli    ,Chhattisgarh,India
"baloda bazar,chhattisgarh",21.5731848,82.2994821,Jnv Baloda Bazar Lawan  ,Chhattisgarh,India
"balrampur,chhattisgarh",23.6282576,83.4810916,Jnv Balrampur Bhelwadih    ,Chhattisgarh,India
"bastar,chhattisgarh",19.1191282,81.8291865,Jnv Bastar Dharampura    ,Chhattisgarh,India
"bemetara,chhattisgarh",21.6783867,81.4412578,Jnv Bemetara Khilora    ,Chhattisgarh,India
"bijapur,chhattisgarh",18.7935679,80.815939,Jnv Bijapur Bijapur    ,Chhattisgarh,India
"bilaspur,chhattisgarh",22.1638486,82.1365923,Jnv Bilaspur Malhar    ,Chhattisgarh,India
"dantewada,chhattisgarh",18.8640648,81.3833947,Jnv Dantewada Barsoor    ,Chhattisgarh,India
"dhamtari,chhattisgarh",20.5326259,81.7155987,Jnv Dhamtari Kurud    ,Chhattisgarh,India
"durg,chhattisgarh",21.1982964,81.4007922,Jnv Durg Borai    ,Chhattisgarh,India
"gariyaband,chhattisgarh",20.526756,82.1917217,Jnv Gariyaband Rajim    ,Chhattisgarh,India
"janjgir champa,chhattisgarh",21.986403,82.5536606,Jnv Janjgir Champa Chisda  ,Chhattisgarh,India
"jashpur,chhattisgarh",22.770251,83.9708013,Jnv Jashpur Kunkurri    ,Chhattisgarh,India
"kabirdham,chhattisgarh",22.1150085,81.2446944,Jnv Kabirdham Udiyakala    ,Chhattisgarh,India
"kanker,chhattisgarh",20.2692747,81.4932111,Jnv Kanker Karappo    ,Chhattisgarh,India
"kondagaon,chhattisgarh",19.5885769,81.6628742,Jnv Kondagaon Vikas Nagar  ,Chhattisgarh,India
"korba,chhattisgarh",22.5198217,82.6350029,Jnv Korba Salora    ,Chhattisgarh,India
"korea,chhattisgarh",23.2382999,82.3906588,Jnv Korea Baikunthpur    ,Chhattisgarh,India
"mahasamund,chhattisgarh",21.1922846,82.4890263,Jnv Mahasamund Chhattigirola    ,Chhattisgarh,India
"mungeli,chhattisgarh",22.0661098,81.6874282,Jnv Mungeli Chatarkhar    ,Chhattisgarh,India
"narayanpur (bastar),chhattisgarh",19.567322,81.368103,Jnv Narayanpur Bastar Garanji  ,Chhattisgarh,India
"raigarh,chhattisgarh",22.2361795,83.3529534,Jnv Raigarh Bhupdevpur    ,Chhattisgarh,India
"raipur,chhattisgarh",21.2380912,81.6336993,Jnv Raipur Mana Camp  ,Chhattisgarh,India
"rajnandgaon,chhattisgarh",21.0684424,80.7970779,Jnv Rajnandgaon Dongargarh    ,Chhattisgarh,India
"surajpur,chhattisgarh",23.3577769,82.9761277,Jnv Surajpur Basdei    ,Chhattisgarh,India
"sarguja,chhattisgarh",22.927858,83.226959,Jnv Sarguja Batauli    ,Chhattisgarh,India
"sukma-i,chhattisgarh",18.3932222,81.6569457,Jnv Sukma I Kumharras  ,Chhattisgarh,India
"sukma-ii,chhattisgarh",18.3932222,81.6569457,Jnv Sukma Ii Dornapal  ,Chhattisgarh,India
"sili,dadra and nagar haveli and daman and diu",20.30936,73.050765,Jnv Sili Sili   Dnhdd,Dadra And Nagar Haveli And Daman And Diu,India
"daman,dadra and nagar haveli and daman and diu",20.4169701,72.833173,Jnv Daman Duneetha   Dnhdd,Dadra And Nagar Haveli And Daman And Diu,India
"diu,dadra and nagar haveli and daman and diu",20.7137783,70.9853635,Jnv Diu Bucharwada   Dnhdd,Dadra And Nagar Haveli And Daman And Diu,India
"east delhi,delhi",28.6117432,77.2982794,Jnv East Delhi Delhi  ,Delhi,India
"north delhi,delhi",28.7872279,77.0980903,Jnv North Delhi Sarvodaya Kanya,Delhi,India
"north east delhi,delhi",28.7233079,77.2668565,Jnv North East Delhi Delhi,Delhi,India
"north west delhi,delhi",28.7379144,77.0100626,Jnv North West Delhi Mungeshpur,Delhi,India
"shahdara,delhi",28.6758661,77.2985078,Jnv Shahdara Mungeshpur    ,Delhi,India
"south delhi,delhi",28.4851694,77.1963652,Jnv South Delhi   Delhi,Delhi,India
"south east delhi,delhi",28.5448946,77.2723284,Jnv South East Delhi  ,Delhi,India
"south west delhi,,delhi",28.5864481,76.979153,Jnv South West Delhi Jaffarpur,Delhi,India
"west delhi,delhi",28.6545456,77.0810555,Jnv West Delhi   Delhi,Delhi,India
"north goa,goa",15.6044413,74.0017241,Jnv North Goa Valpoi  ,Goa,India
"south goa,goa",15.219624,74.1159085,Jnv South Goa Canacona  ,Goa,India
"ahmedabad,gujarat",23.0215374,72.5800568,Jnv Ahmedabad Old Narol Court,Gujarat,India
"amreli,gujarat",21.4176122,71.249609,Jnv Amreli Mota Bhandariya  ,Gujarat,India
"anand,gujarat",22.5586555,72.9627227,Jnv Anand Bhadran    ,Gujarat,India
"aravalli,gujarat",23.4843216,73.3986096,Jnv Aravalli Shaktinagar    ,Gujarat,India
"banaskantha,gujarat",24.2693921,72.1620246,Jnv Banaskantha Dantiwada    ,Gujarat,India
"bharuch,gujarat",21.7080427,72.9956936,Jnv Bharuch Roopnagar    ,Gujarat,India
"bhavnagar,gujarat",21.7718836,72.1416449,Jnv Bhavnagar Trapaj Bunglow  ,Gujarat,India
"botad,gujarat",22.0467097,71.6689617,Jnv Botad Moti Kundal Gadhada,Gujarat,India
"chhota udaipur,gujarat",22.2224345,73.7778749,Jnv Chhota Udaipur Kadipani  ,Gujarat,India
"dahod-i,gujarat",22.8358786,74.2556823,Jnv Dahod I Kharedi  ,Gujarat,India
"dahod-ii,gujarat",22.8358786,74.2556823,Jnv Dahod Ii Limkheda Palli,Gujarat,India
"dangs,gujarat",20.75,73.75,Jnv Dangs Saputara    ,Gujarat,India
"devbhumi dwarka,gujarat",22.2475106,68.968244,Jnv Devbhumi Dwarka Kalyanpur  ,Gujarat,India
"gandhinagar,gujarat",23.2232877,72.6492267,Jnv Gandhinagar Sametri    ,Gujarat,India
"jamnagar,gujarat",22.4732415,70.0552102,Jnv Jamnagar Aliabada    ,Gujarat,India
"gir somnath,gujarat",20.9298181,70.7627578,Jnv Gir Somnath Kadvasan  ,Gujarat,India
"junagarh,gujarat",21.25,70.333333,Jnv Junagarh Junagarh    ,Gujarat,India
"kheda,gujarat",22.8532503,72.9953586,Jnv Kheda Kathlal    ,Gujarat,India
"kutch,gujarat",23.583333,70,Jnv Kutch Dumra    ,Gujarat,India
"mahisagar,gujarat",23.1912194,73.6644398,Jnv Mahisagar Balasinore    ,Gujarat,India
"mehsana,gujarat",23.6012628,72.3741516,Jnv Mehsana Vadnagar    ,Gujarat,India
"morbi,gujarat",22.8003959,70.886232,Jnv Morbi Kothariya    ,Gujarat,India
"narmada,gujarat",21.7392624,73.6262458,Jnv Narmada Bhumaliya Road  ,Gujarat,India
"navasari,gujarat",20.9490934,72.917558,Jnv Navasari Roopvel Raywadi  ,Gujarat,India
"panchamahal,gujarat",22.720226,73.625917,Jnv Panchamahal Vejalpur    ,Gujarat,India
"patan,gujarat",23.773753,71.6798581,Jnv Patan Lanva    ,Gujarat,India
"porbandar,gujarat",21.6409,69.611,Jnv Porbandar Dharampur Patiya  ,Gujarat,India
"rajkot,gujarat",22.3053263,70.8028377,Jnv Rajkot Targhadi    ,Gujarat,India
"sabarkantha,gujarat",23.8688505,73.013784,Jnv Sabarkantha Kadiyadara    ,Gujarat,India
"tapi,gujarat",21.1916567,73.5560631,Jnv Tapi Borkhadi    ,Gujarat,India
"surat,gujarat",21.2094892,72.8317058,Jnv Surat Malda    ,Gujarat,India
"surendranagar,gujarat",22.8251395,71.6209736,Jnv Surendranagar Haripar    ,Gujarat,India
"vadodara,gujarat",22.2973142,73.1942567,Jnv Vadodara Sadhi Padra  ,Gujarat,India
"valsad,gujarat",20.4321957,73.1409893,Jnv Valsad Ambheti    ,Gujarat,India
"ambala,haryana",30.3843674,76.770421,Jnv Ambala Kaulan    ,Haryana,India
"bhiwani,haryana",28.7931703,76.1391283,Jnv Bhiwani Devrala    ,Haryana,India
"faridabad,haryana",28.4031478,77.3105561,Jnv Faridabad Mothuka    ,Haryana,India
"fatehabad,haryana",29.5359209,75.5752901,Jnv Fatehabad Khera Kheri  ,Haryana,India
"gurugram,haryana",28.4646148,77.0299194,Jnv Gurugram Mohammadpur    ,Haryana,India
"hissar,haryana",29.839171,76.4373052,Jnv Hissar Pabra    ,Haryana,India
"jhajjar,haryana",28.5964461,76.6505366,Jnv Jhajjar Kaloi    ,Haryana,India
"jind,haryana",29.3152073,76.314082,Jnv Jind Khunga Kothi  ,Haryana,India
"kaithal,haryana",29.7996588,76.3989903,Jnv Kaithal Titram    ,Haryana,India
"karnal,haryana",29.7255766,76.9106924,Jnv Karnal Sagga    ,Haryana,India
"kurukshetra,haryana",29.9693747,76.8482787,Jnv Kurukshetra Niwarsi    ,Haryana,India
"nuh-mewat,haryana",28.2088016,77.0576632,Jnv Nuh Mewat Bali  ,Haryana,India
"mohindergarh,haryana",28.195946,76.591449,Jnv Mohindergarh Kareera    ,Haryana,India
"palwal,haryana",28.0599426,77.3223422,Jnv Palwal Gadpuri    ,Haryana,India
"panchkula,haryana",30.6975401,76.8551066,Jnv Panchkula Mouli    ,Haryana,India
"panipat,haryana",29.3912753,76.9771675,Jnv Panipat Naultha    ,Haryana,India
"rewari,haryana",28.1956468,76.6165179,Jnv Rewari Naichana    ,Haryana,India
"rohtak,haryana",28.9010899,76.5801935,Jnv Rohtak Ghuskani    ,Haryana,India
"sirsa,haryana",29.6063041,74.9036568,Jnv Sirsa Odhan    ,Haryana,India
"sonepat,haryana",28.99197,77.0342633,Jnv Sonepat Butana    ,Haryana,India
"yamunanagar,haryana",30.1231349,77.286329,Jnv Yamunanagar Gulabgarh    ,Haryana,India
"bilaspur,himachal pradesh",31.3380959,76.7611631,Jnv Bilaspur Kothipura    ,Himachal Pradesh,India
"chamba,himachal pradesh",32.6923316,76.1631552,Jnv Chamba Sarol    ,Himachal Pradesh,India
"hamirpur,himachal pradesh",31.6539865,76.5403633,Jnv Hamirpur Dungrin    ,Himachal Pradesh,India
"kangra,himachal pradesh",32.0768665,76.2985872,Jnv Kangra Paprola    ,Himachal Pradesh,India
"kinnaur,himachal pradesh",31.593013,78.3281417,Jnv Kinnaur Rekong Peo  ,Himachal Pradesh,India
"kullu,himachal pradesh",31.9578974,77.1089232,Jnv Kullu Bandrol    ,Himachal Pradesh,India
"lahaul spiti,himachal pradesh",32.5015861,77.5789891,Jnv Lahaul Spiti Kaza  ,Himachal Pradesh,India
"mandi,himachal pradesh",31.6516617,77.0092542,Jnv Mandi Seog    ,Himachal Pradesh,India
"shimla,himachal pradesh",31.1041526,77.1709729,Jnv Shimla Deorighat    ,Himachal Pradesh,India
"sirmour,himachal pradesh",30.4968292,77.4733243,Jnv Sirmour Judda Ka Johar,Himachal Pradesh,India
"solan,himachal pradesh",30.9077569,77.1023645,Jnv Solan Kunihar    ,Himachal Pradesh,India
"una,himachal pradesh",31.5834642,76.2351452,Jnv Una Pekhubela    ,Himachal Pradesh,India
"anantnag,jammu and kashmir",33.74611,75.1854475,Jnv Anantnag Aishmuquam    ,Jammu And Kashmir,India
"bandipora,jammu and kashmir",34.4232433,74.635965,Jnv Bandipora Bandipora    ,Jammu And Kashmir,India
"baramulla,jammu and kashmir",34.2086903,74.343498,Jnv Baramulla Shahkote    ,Jammu And Kashmir,India
"budgam,jammu and kashmir",33.9098746,74.6270357,Jnv Budgam Khanpora    ,Jammu And Kashmir,India
"doda,jammu and kashmir",33.13261,75.5890079,Jnv Doda Arnora Ghat  ,Jammu And Kashmir,India
"ganderbal (srinagar),jammu and kashmir",34.137399,74.802604,Jnv Ganderbal Srinagar Hathbara  ,Jammu And Kashmir,India
"jammu-i,jammu and kashmir",32.7185614,74.8580917,Jnv Jammu I Gharota  ,Jammu And Kashmir,India
"jammu-ii,jammu and kashmir",34.0846516,74.7817801,Jnv Jammu Ii Nardiwala  ,Jammu And Kashmir,India
"kathua,jammu and kashmir",32.3765524,75.5243044,Jnv Kathua Basohli    ,Jammu And Kashmir,India
